CM113547.1	8186034	8206034	1	20000	+
CM113541.1	8870028	8890028	2	20000	+
CM113536.1	6466471	6486471	3	20000	-
CM113540.1	9091989	9111989	4	20000	+
CM113527.1	1133067	1153067	5	20000	-
CM113529.1	20803668	20823668	6	20000	+
CM113542.1	11637525	11657525	7	20000	+
CM113527.1	26212262	26232262	8	20000	-
CM113529.1	4100270	4120270	9	20000	+
CM113538.1	1480001	1500001	10	20000	-
CM113533.1	13946677	13966677	11	20000	+
CM113542.1	7975511	7995511	12	20000	+
CM113538.1	11083247	11103247	13	20000	+
CM113534.1	13070583	13090583	14	20000	-
CM113538.1	16630377	16650377	15	20000	-
CM113536.1	5611487	5631487	16	20000	-
CM113544.1	12868372	12888372	17	20000	-
CM113545.1	8892006	8912006	18	20000	+
CM113535.1	20649709	20669709	19	20000	-
CM113534.1	13913528	13933528	20	20000	-
CM113537.1	17750230	17770230	21	20000	-
CM113535.1	21395487	21415487	22	20000	+
CM113534.1	18074603	18094603	23	20000	+
CM113530.1	8082217	8102217	24	20000	-
CM113529.1	5375618	5395618	25	20000	+
CM113529.1	6492129	6512129	26	20000	-
CM113539.1	19923025	19943025	27	20000	+
CM113530.1	4679189	4699189	28	20000	+
CM113545.1	2634450	2654450	29	20000	+
CM113532.1	5326501	5346501	30	20000	+
CM113533.1	13761951	13781951	31	20000	-
CM113541.1	5095698	5115698	32	20000	-
CM113535.1	17718045	17738045	33	20000	+
CM113547.1	14117562	14137562	34	20000	+
CM113541.1	8795342	8815342	35	20000	+
CM113547.1	7105409	7125409	36	20000	-
CM113538.1	18601284	18621284	37	20000	+
CM113537.1	14789461	14809461	38	20000	+
CM113527.1	18956033	18976033	39	20000	-
CM113547.1	11174414	11194414	40	20000	+
CM113545.1	3241725	3261725	41	20000	-
CM113527.1	10216682	10236682	42	20000	-
CM113546.1	2517626	2537626	43	20000	+
CM113528.1	5946955	5966955	44	20000	+
CM113536.1	7616447	7636447	45	20000	+
CM113538.1	14463717	14483717	46	20000	+
CM113535.1	19031863	19051863	47	20000	-
CM113536.1	4522068	4542068	48	20000	-
CM113538.1	2476556	2496556	49	20000	-
CM113543.1	18310592	18330592	50	20000	-
CM113535.1	22739165	22759165	51	20000	+
CM113527.1	24375215	24395215	52	20000	-
CM113543.1	10247515	10267515	53	20000	-
CM113545.1	11091810	11111810	54	20000	+
CM113527.1	4682818	4702818	55	20000	-
CM113528.1	5444132	5464132	56	20000	+
CM113537.1	11921167	11941167	57	20000	+
CM113539.1	16988800	17008800	58	20000	+
CM113530.1	22092879	22112879	59	20000	-
CM113535.1	16151897	16171897	60	20000	-
CM113535.1	236732	256732	61	20000	-
CM113538.1	4455467	4475467	62	20000	-
CM113544.1	8031264	8051264	63	20000	+
CM113542.1	20238576	20258576	64	20000	+
CM113538.1	2616844	2636844	65	20000	+
CM113530.1	24206745	24226745	66	20000	+
CM113529.1	9212986	9232986	67	20000	-
CM113545.1	20285124	20305124	68	20000	+
CM113530.1	34205351	34225351	69	20000	+
CM113529.1	1253142	1273142	70	20000	-
CM113538.1	15036497	15056497	71	20000	-
CM113536.1	11229758	11249758	72	20000	+
