CM113530.1	5080349	5100349	1	20000	-
CM113537.1	16408569	16428569	2	20000	+
CM113540.1	6258438	6278438	3	20000	+
CM113533.1	7038637	7058637	4	20000	+
CM113544.1	1742567	1762567	5	20000	-
CM113545.1	5235625	5255625	6	20000	-
CM113539.1	6653693	6673693	7	20000	-
CM113535.1	1302492	1322492	8	20000	+
CM113532.1	5233517	5253517	9	20000	+
CM113536.1	13204905	13224905	10	20000	-
CM113532.1	13455697	13475697	11	20000	+
CM113545.1	13047489	13067489	12	20000	-
CM113543.1	17518295	17538295	13	20000	+
CM113530.1	22338264	22358264	14	20000	-
CM113528.1	21953068	21973068	15	20000	+
CM113538.1	2997437	3017437	16	20000	+
CM113540.1	15994358	16014358	17	20000	+
CM113544.1	9874239	9894239	18	20000	+
CM113544.1	14623394	14643394	19	20000	-
CM113528.1	14275007	14295007	20	20000	-
CM113529.1	20908071	20928071	21	20000	-
CM113532.1	5883502	5903502	22	20000	+
CM113547.1	506053	526053	23	20000	+
CM113529.1	11834833	11854833	24	20000	+
CM113537.1	2776122	2796122	25	20000	-
CM113535.1	15632029	15652029	26	20000	+
CM113530.1	21774727	21794727	27	20000	-
CM113533.1	849149	869149	28	20000	+
CM113538.1	25367399	25387399	29	20000	+
CM113528.1	16683441	16703441	30	20000	+
CM113532.1	2568214	2588214	31	20000	+
CM113542.1	17198953	17218953	32	20000	-
CM113528.1	22701722	22721722	33	20000	-
CM113530.1	1069427	1089427	34	20000	-
CM113538.1	25863626	25883626	35	20000	-
CM113531.1	10263123	10283123	36	20000	+
CM113528.1	15167608	15187608	37	20000	-
CM113530.1	2223811	2243811	38	20000	-
CM113530.1	13012269	13032269	39	20000	-
CM113531.1	9355352	9375352	40	20000	+
CM113543.1	20298330	20318330	41	20000	+
CM113542.1	13096760	13116760	42	20000	+
CM113527.1	17977135	17997135	43	20000	+
CM113543.1	954548	974548	44	20000	+
CM113542.1	6061834	6081834	45	20000	+
CM113535.1	3235377	3255377	46	20000	-
CM113531.1	1038454	1058454	47	20000	-
CM113530.1	4154047	4174047	48	20000	-
CM113546.1	18988055	19008055	49	20000	-
CM113527.1	17107491	17127491	50	20000	-
CM113542.1	6868693	6888693	51	20000	-
CM113534.1	14834814	14854814	52	20000	-
CM113535.1	19893944	19913944	53	20000	+
CM113542.1	1109424	1129424	54	20000	+
CM113530.1	22094846	22114846	55	20000	-
CM113528.1	13500364	13520364	56	20000	+
CM113545.1	13014506	13034506	57	20000	+
CM113529.1	9243459	9263459	58	20000	+
CM113542.1	11393937	11413937	59	20000	-
CM113540.1	15213421	15233421	60	20000	+
CM113533.1	10608061	10628061	61	20000	-
CM113542.1	4911644	4931644	62	20000	-
CM113541.1	3991431	4011431	63	20000	-
CM113532.1	4183173	4203173	64	20000	+
CM113545.1	16878113	16898113	65	20000	+
CM113539.1	21973262	21993262	66	20000	+
CM113540.1	16607287	16627287	67	20000	-
CM113530.1	7217040	7237040	68	20000	+
CM113535.1	8246854	8266854	69	20000	-
CM113527.1	129581	149581	70	20000	+
CM113527.1	4533820	4553820	71	20000	-
CM113532.1	10719203	10739203	72	20000	+
CM113534.1	112510	132510	73	20000	+
CM113534.1	10165041	10185041	74	20000	-
CM113534.1	21792187	21812187	75	20000	-
CM113538.1	24456833	24476833	76	20000	-
CM113533.1	8367055	8387055	77	20000	+
CM113544.1	16405253	16425253	78	20000	-
CM113532.1	4326963	4346963	79	20000	+
CM113537.1	284828	304828	80	20000	+
CM113527.1	21781081	21801081	81	20000	+
CM113537.1	16978052	16998052	82	20000	+
CM113539.1	2073878	2093878	83	20000	-
CM113527.1	1770355	1790355	84	20000	-
CM113544.1	7817837	7837837	85	20000	-
CM113545.1	4481176	4501176	86	20000	+
CM113539.1	20297813	20317813	87	20000	+
